U+0009, CHARACTER TABULATION                   , Tab
U+00F3, LATIN SMALL LETTER O WITH ACUTE        , oacute
U+00F4, LATIN SMALL LETTER O WITH CIRCUMFLEX   , ocirc
U+00F5, LATIN SMALL LETTER O WITH TILDE        , otilde
U+00F6, LATIN SMALL LETTER O WITH DIAERESIS    , ouml
U+00F7, DIVISION SIGN                          , divide, div
U+00F8, LATIN SMALL LETTER O WITH STROKE       , oslash
U+00F9, LATIN SMALL LETTER U WITH GRAVE        , ugrave
U+00FA, LATIN SMALL LETTER U WITH ACUTE        , uacute
U+00FB, LATIN SMALL LETTER U WITH CIRCUMFLEX   , ucirc
U+00FC, LATIN SMALL LETTER U WITH DIAERESIS    , uuml
U+00FD, LATIN SMALL LETTER Y WITH ACUTE        , yacute
U+00FE, LATIN SMALL LETTER THORN               , thorn
U+00FF, LATIN SMALL LETTER Y WITH DIAERESIS    , yuml
U+0100, LATIN CAPITAL LETTER A WITH MACRON     , Amacr
U+0101, LATIN SMALL LETTER A WITH MACRON       , amacr
U+0102, LATIN CAPITAL LETTER A WITH BREVE      , Abreve
U+0103, LATIN SMALL LETTER A WITH BREVE        , abreve
U+0104, LATIN CAPITAL LETTER A WITH OGONEK     , Aogon
U+0105, LATIN SMALL LETTER A WITH OGONEK       , aogon
U+0106, LATIN CAPITAL LETTER C WITH ACUTE      , Cacute
U+0107, LATIN SMALL LETTER C WITH ACUTE        , cacute
U+0108, LATIN CAPITAL LETTER C WITH CIRCUMFLEX , Ccirc
U+0109, LATIN SMALL LETTER C WITH CIRCUMFLEX   , ccirc
U+010A, LATIN CAPITAL LETTER C WITH DOT ABOVE  , Cdot
U+010B, LATIN SMALL LETTER C WITH DOT ABOVE    , cdot
U+010C, LATIN CAPITAL LETTER C WITH CARON      , Ccaron
U+010D, LATIN SMALL LETTER C WITH CARON        , ccaron
U+010E, LATIN CAPITAL LETTER D WITH CARON      , Dcaron
U+010F, LATIN SMALL LETTER D WITH CARON        , dcaron
U+0110, LATIN CAPITAL LETTER D WITH STROKE     , Dstrok
U+0111, LATIN SMALL LETTER D WITH STROKE       , dstrok
U+0112, LATIN CAPITAL LETTER E WITH MACRON     , Emacr
U+0113, LATIN SMALL LETTER E WITH MACRON       , emacr
U+0116, LATIN CAPITAL LETTER E WITH DOT ABOVE  , Edot
U+0117, LATIN SMALL LETTER E WITH DOT ABOVE    , edot
U+0118, LATIN CAPITAL LETTER E WITH OGONEK     , Eogon
U+0119, LATIN SMALL LETTER E WITH OGONEK       , eogon
U+011A, LATIN CAPITAL LETTER E WITH CARON      , Ecaron
U+011B, LATIN SMALL LETTER E WITH CARON        , ecaron
U+011C, LATIN CAPITAL LETTER G WITH CIRCUMFLEX , Gcirc
U+011D, LATIN SMALL LETTER G WITH CIRCUMFLEX   , gcirc
U+011E, LATIN CAPITAL LETTER G WITH BREVE      , Gbreve
U+011F, LATIN SMALL LETTER G WITH BREVE        , gbreve
U+0120, LATIN CAPITAL LETTER G WITH DOT ABOVE  , Gdot
U+0121, LATIN SMALL LETTER G WITH DOT ABOVE    , gdot
U+0122, LATIN CAPITAL LETTER G WITH CEDILLA    , Gcedil
U+0124, LATIN CAPITAL LETTER H WITH CIRCUMFLEX , Hcirc
U+0125, LATIN SMALL LETTER H WITH CIRCUMFLEX   , hcirc
U+0126, LATIN CAPITAL LETTER H WITH STROKE     , Hstrok
U+0127, LATIN SMALL LETTER H WITH STROKE       , hstrok
U+0128, LATIN CAPITAL LETTER I WITH TILDE      , Itilde
U+0129, LATIN SMALL LETTER I WITH TILDE        , itilde
U+012A, LATIN CAPITAL LETTER I WITH MACRON     , Imacr
U+012B, LATIN SMALL LETTER I WITH MACRON       , imacr
U+012E, LATIN CAPITAL LETTER I WITH OGONEK     , Iogon
U+012F, LATIN SMALL LETTER I WITH OGONEK       , iogon
U+0130, LATIN CAPITAL LETTER I WITH DOT ABOVE  , Idot
U+0131, LATIN SMALL LETTER DOTLESS I           , imath, inodot
U+0132, LATIN CAPITAL LIGATURE IJ              , IJlig
U+0133, LATIN SMALL LIGATURE IJ                , ijlig
U+0134, LATIN CAPITAL LETTER J WITH CIRCUMFLEX , Jcirc
U+0135, LATIN SMALL LETTER J WITH CIRCUMFLEX   , jcirc
U+0136, LATIN CAPITAL LETTER K WITH CEDILLA    , Kcedil
U+0137, LATIN SMALL LETTER K WITH CEDILLA      , kcedil
U+0138, LATIN SMALL LETTER KRA                 , kgreen
U+0139, LATIN CAPITAL LETTER L WITH ACUTE      , Lacute
U+013A, LATIN SMALL LETTER L WITH ACUTE        , lacute
U+013B, LATIN CAPITAL LETTER L WITH CEDILLA    , Lcedil
U+013C, LATIN SMALL LETTER L WITH CEDILLA      , lcedil
U+013D, LATIN CAPITAL LETTER L WITH CARON      , Lcaron
U+013E, LATIN SMALL LETTER L WITH CARON        , lcaron
U+013F, LATIN CAPITAL LETTER L WITH MIDDLE DOT , Lmidot
U+0140, LATIN SMALL LETTER L WITH MIDDLE DOT   , lmidot
U+0141, LATIN CAPITAL LETTER L WITH STROKE     , Lstrok
U+0142, LATIN SMALL LETTER L WITH STROKE       , lstrok
U+0143, LATIN CAPITAL LETTER N WITH ACUTE      , Nacute
U+0144, LATIN SMALL LETTER N WITH ACUTE        , nacute
U+0145, LATIN CAPITAL LETTER N WITH CEDILLA    , Ncedil
U+0146, LATIN SMALL LETTER N WITH CEDILLA      , ncedil
U+0147, LATIN CAPITAL LETTER N WITH CARON      , Ncaron
U+0148, LATIN SMALL LETTER N WITH CARON        , ncaron
U+0149, LATIN SMALL LETTER N PRECEDED BY APOSTROPHE, napos
U+014A, LATIN CAPITAL LETTER ENG               , ENG
U+014B, LATIN SMALL LETTER ENG                 , eng
U+014C, LATIN CAPITAL LETTER O WITH MACRON     , Omacr
U+014D, LATIN SMALL LETTER O WITH MACRON       , omacr
U+0150, LATIN CAPITAL LETTER O WITH DOUBLE ACUTE, Odblac
U+0151, LATIN SMALL LETTER O WITH DOUBLE ACUTE , odblac
U+0152, LATIN CAPITAL LIGATURE OE              , OElig
U+0153, LATIN SMALL LIGATURE OE                , oelig
U+0154, LATIN CAPITAL LETTER R WITH ACUTE      , Racute
U+0155, LATIN SMALL LETTER R WITH ACUTE        , racute
U+0156, LATIN CAPITAL LETTER R WITH CEDILLA    , Rcedil
U+0157, LATIN SMALL LETTER R WITH CEDILLA      , rcedil
U+0158, LATIN CAPITAL LETTER R WITH CARON      , Rcaron
U+0159, LATIN SMALL LETTER R WITH CARON        , rcaron
U+015A, LATIN CAPITAL LETTER S WITH ACUTE      , Sacute
U+015B, LATIN SMALL LETTER S WITH ACUTE        , sacute
U+015C, LATIN CAPITAL LETTER S WITH CIRCUMFLEX , Scirc
U+015D, LATIN SMALL LETTER S WITH CIRCUMFLEX   , scirc
U+015E, LATIN CAPITAL LETTER S WITH CEDILLA    , Scedil
U+015F, LATIN SMALL LETTER S WITH CEDILLA      , scedil
U+0160, LATIN CAPITAL LETTER S WITH CARON      , Scaron
U+0161, LATIN SMALL LETTER S WITH CARON        , scaron
U+0162, LATIN CAPITAL LETTER T WITH CEDILLA    , Tcedil
U+0163, LATIN SMALL LETTER T WITH CEDILLA      , tcedil
U+0164, LATIN CAPITAL LETTER T WITH CARON      , Tcaron
U+0165, LATIN SMALL LETTER T WITH CARON        , tcaron
U+0166, LATIN CAPITAL LETTER T WITH STROKE     , Tstrok
U+0167, LATIN SMALL LETTER T WITH STROKE       , tstrok
U+0168, LATIN CAPITAL LETTER U WITH TILDE      , Utilde
U+0169, LATIN SMALL LETTER U WITH TILDE        , utilde
U+016A, LATIN CAPITAL LETTER U WITH MACRON     , Umacr
U+016B, LATIN SMALL LETTER U WITH MACRON       , umacr
U+016C, LATIN CAPITAL LETTER U WITH BREVE      , Ubreve
U+016D, LATIN SMALL LETTER U WITH BREVE        , ubreve
U+016E, LATIN CAPITAL LETTER U WITH RING ABOVE , Uring
U+016F, LATIN SMALL LETTER U WITH RING ABOVE   , uring
U+0170, LATIN CAPITAL LETTER U WITH DOUBLE ACUTE, Udblac
U+0171, LATIN SMALL LETTER U WITH DOUBLE ACUTE , udblac
U+0172, LATIN CAPITAL LETTER U WITH OGONEK     , Uogon
U+0173, LATIN SMALL LETTER U WITH OGONEK       , uogon
U+0174, LATIN CAPITAL LETTER W WITH CIRCUMFLEX , Wcirc
U+0175, LATIN SMALL LETTER W WITH CIRCUMFLEX   , wcirc
U+0176, LATIN CAPITAL LETTER Y WITH CIRCUMFLEX , Ycirc
U+0177, LATIN SMALL LETTER Y WITH CIRCUMFLEX   , ycirc
U+0178, LATIN CAPITAL LETTER Y WITH DIAERESIS  , Yuml
U+0179, LATIN CAPITAL LETTER Z WITH ACUTE      , Zacute
U+017A, LATIN SMALL LETTER Z WITH ACUTE        , zacute
U+017B, LATIN CAPITAL LETTER Z WITH DOT ABOVE  , Zdot
U+017C, LATIN SMALL LETTER Z WITH DOT ABOVE    , zdot
U+017D, LATIN CAPITAL LETTER Z WITH CARON      , Zcaron
U+017E, LATIN SMALL LETTER Z WITH CARON        , zcaron
U+0192, LATIN SMALL LETTER F WITH HOOK         , fnof
U+01B5, LATIN CAPITAL LETTER Z WITH STROKE     , imped
U+01F5, LATIN SMALL LETTER G WITH ACUTE        , gacute
U+0237, LATIN SMALL LETTER DOTLESS J           , jmath
U+02C6, MODIFIER LETTER CIRCUMFLEX ACCENT      , circ
U+02C7, CARON                                  , caron, Hacek
U+02D8, BREVE                                  , breve, Breve
U+02D9, DOT ABOVE                              , dot, DiacriticalDot
U+02DA, RING ABOVE                             , ring
U+02DB, OGONEK                                 , ogon
U+02DC, SMALL TILDE                            , tilde, DiacriticalTilde
U+02DD, DOUBLE ACUTE ACCENT                    , dblac, DiacriticalDoubleAcute
U+0311, COMBINING INVERTED BREVE               , DownBreve
U+0386, GREEK CAPITAL LETTER ALPHA WITH TONOS  , Aacgr
U+0388, GREEK CAPITAL LETTER EPSILON WITH TONOS, Eacgr
U+0389, GREEK CAPITAL LETTER ETA WITH TONOS    , EEacgr
U+038A, GREEK CAPITAL LETTER IOTA WITH TONOS   , Iacgr
U+038C, GREEK CAPITAL LETTER OMICRON WITH TONOS, Oacgr
U+038E, GREEK CAPITAL LETTER UPSILON WITH TONOS, Uacgr
U+038F, GREEK CAPITAL LETTER OMEGA WITH TONOS  , OHacgr
U+0390, GREEK SMALL LETTER IOTA WITH DIALYTIKA AND TONOS, idiagr
U+0391, GREEK CAPITAL LETTER ALPHA             , Alpha, Agr
U+0392, GREEK CAPITAL LETTER BETA              , Bgr, Beta
U+0393, GREEK CAPITAL LETTER GAMMA             , Gamma, Ggr
U+0394, GREEK CAPITAL LETTER DELTA             , Delta, Dgr
U+0395, GREEK CAPITAL LETTER EPSILON           , Egr, Epsilon
U+0396, GREEK CAPITAL LETTER ZETA              , Zgr, Zeta
U+0397, GREEK CAPITAL LETTER ETA               , EEgr, Eta
U+0398, GREEK CAPITAL LETTER THETA             , THgr, Theta
U+0399, GREEK CAPITAL LETTER IOTA              , Igr, Iota
U+039A, GREEK CAPITAL LETTER KAPPA             , Kgr, Kappa
U+039B, GREEK CAPITAL LETTER LAMDA             , Lambda, Lgr
U+039C, GREEK CAPITAL LETTER MU                , Mgr, Mu
U+039D, GREEK CAPITAL LETTER NU                , Ngr, Nu
U+039E, GREEK CAPITAL LETTER XI                , Xgr, Xi
U+039F, GREEK CAPITAL LETTER OMICRON           , Ogr, Omicron
U+03A0, GREEK CAPITAL LETTER PI                , Pgr, Pi
U+03A1, GREEK CAPITAL LETTER RHO               , Rgr, Rho
U+03A3, GREEK CAPITAL LETTER SIGMA             , Sgr, Sigma
U+03A4, GREEK CAPITAL LETTER TAU               , Tgr, Tau
U+03A5, GREEK CAPITAL LETTER UPSILON           , Ugr, Upsilon
U+03A6, GREEK CAPITAL LETTER PHI               , PHgr, Phi
U+03A7, GREEK CAPITAL LETTER CHI               , KHgr, Chi
U+03A8, GREEK CAPITAL LETTER PSI               , PSgr, Psi
U+03A9, GREEK CAPITAL LETTER OMEGA             , OHgr, Omega, ohm
U+03AA, GREEK CAPITAL LETTER IOTA WITH DIALYTIKA, Idigr
U+03AB, GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA, Udigr
U+03AC, GREEK SMALL LETTER ALPHA WITH TONOS    , aacgr
U+03AD, GREEK SMALL LETTER EPSILON WITH TONOS  , eacgr
U+03AE, GREEK SMALL LETTER ETA WITH TONOS      , eeacgr
U+03AF, GREEK SMALL LETTER IOTA WITH TONOS     , iacgr
U+03B0, GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND TONOS, udiagr
U+03B1, GREEK SMALL LETTER ALPHA               , agr, alpha
U+03B2, GREEK SMALL LETTER BETA                , beta, bgr
U+03B3, GREEK SMALL LETTER GAMMA               , gamma, ggr
U+03B4, GREEK SMALL LETTER DELTA               , delta, dgr
U+03B5, GREEK SMALL LETTER EPSILON             , egr, epsi, epsilon
U+03B6, GREEK SMALL LETTER ZETA                , zeta, zgr
U+03B7, GREEK SMALL LETTER ETA                 , eegr, eta
U+03B8, GREEK SMALL LETTER THETA               , theta, thgr
U+03B9, GREEK SMALL LETTER IOTA                , igr, iota
U+03BA, GREEK SMALL LETTER KAPPA               , kappa, kgr
U+03BB, GREEK SMALL LETTER LAMDA               , lambda, lgr
U+03BC, GREEK SMALL LETTER MU                  , mgr, mu
U+03BD, GREEK SMALL LETTER NU                  , ngr, nu
U+03BE, GREEK SMALL LETTER XI                  , xgr, xi
U+03BF, GREEK SMALL LETTER OMICRON             , omicron, ogr
U+03C0, GREEK SMALL LETTER PI                  , pgr, pi
U+03C1, GREEK SMALL LETTER RHO                 , rgr, rho
U+03C2, GREEK SMALL LETTER FINAL SIGMA         , sfgr, sigmav, varsigma, sigmaf
U+03C3, GREEK SMALL LETTER SIGMA               , sgr, sigma
U+03C4, GREEK SMALL LETTER TAU                 , tau, tgr
U+03C5, GREEK SMALL LETTER UPSILON             , ugr, upsi, upsilon
U+03C6, GREEK SMALL LETTER PHI                 , phi, phgr
U+03C7, GREEK SMALL LETTER CHI                 , chi, khgr
U+03C8, GREEK SMALL LETTER PSI                 , psgr, psi
U+03C9, GREEK SMALL LETTER OMEGA               , ohgr, omega
U+03CA, GREEK SMALL LETTER IOTA WITH DIALYTIKA , idigr
U+03CB, GREEK SMALL LETTER UPSILON WITH DIALYTIKA, udigr
U+03CC, GREEK SMALL LETTER OMICRON WITH TONOS  , oacgr
U+03CD, GREEK SMALL LETTER UPSILON WITH TONOS  , uacgr
U+03CE, GREEK SMALL LETTER OMEGA WITH TONOS    , ohacgr
U+03D1, GREEK THETA SYMBOL                     , thetav, vartheta, thetasym
U+03D2, GREEK UPSILON WITH HOOK SYMBOL         , Upsi, upsih
U+03D5, GREEK PHI SYMBOL                       , straightphi, phiv, varphi
U+03D6, GREEK PI SYMBOL                        , piv, varpi
U+03DC, GREEK LETTER DIGAMMA                   , Gammad
U+03DD, GREEK SMALL LETTER DIGAMMA             , gammad, digamma
U+03F0, GREEK KAPPA SYMBOL                     , kappav, varkappa
U+03F1, GREEK RHO SYMBOL                       , rhov, varrho
U+03F5, GREEK LUNATE EPSILON SYMBOL            , epsiv, straightepsilon, varepsilon
U+03F6, GREEK REVERSED LUNATE EPSILON SYMBOL   , bepsi, backepsilon
U+0401, CYRILLIC CAPITAL LETTER IO             , IOcy
U+0402, CYRILLIC CAPITAL LETTER DJE            , DJcy
U+0403, CYRILLIC CAPITAL LETTER GJE            , GJcy
U+0404, CYRILLIC CAPITAL LETTER UKRAINIAN IE   , Jukcy
U+0405, CYRILLIC CAPITAL LETTER DZE            , DScy
U+0406, CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I, Iukcy
U+0407, CYRILLIC CAPITAL LETTER YI             , YIcy
U+0408, CYRILLIC CAPITAL LETTER JE             , Jsercy
U+0409, CYRILLIC CAPITAL LETTER LJE            , LJcy
U+040A, CYRILLIC CAPITAL LETTER NJE            , NJcy
U+040B, CYRILLIC CAPITAL LETTER TSHE           , TSHcy
U+040C, CYRILLIC CAPITAL LETTER KJE            , KJcy
U+040E, CYRILLIC CAPITAL LETTER SHORT U        , Ubrcy
U+040F, CYRILLIC CAPITAL LETTER DZHE           , DZcy
U+0410, CYRILLIC CAPITAL LETTER A              , Acy
U+0411, CYRILLIC CAPITAL LETTER BE             , Bcy
U+0412, CYRILLIC CAPITAL LETTER VE             , Vcy
U+0413, CYRILLIC CAPITAL LETTER GHE            , Gcy
U+0414, CYRILLIC CAPITAL LETTER DE             , Dcy
U+0415, CYRILLIC CAPITAL LETTER IE             , IEcy
U+0416, CYRILLIC CAPITAL LETTER ZHE            , ZHcy
U+0417, CYRILLIC CAPITAL LETTER ZE             , Zcy
U+0418, CYRILLIC CAPITAL LETTER I              , Icy
U+0419, CYRILLIC CAPITAL LETTER SHORT I        , Jcy
U+041A, CYRILLIC CAPITAL LETTER KA             , Kcy
U+041B, CYRILLIC CAPITAL LETTER EL             , Lcy
U+041C, CYRILLIC CAPITAL LETTER EM             , Mcy
U+041D, CYRILLIC CAPITAL LETTER EN             , Ncy
U+041E, CYRILLIC CAPITAL LETTER O              , Ocy
U+041F, CYRILLIC CAPITAL LETTER PE             , Pcy
U+0420, CYRILLIC CAPITAL LETTER ER             , Rcy
U+0421, CYRILLIC CAPITAL LETTER ES             , Scy
U+0422, CYRILLIC CAPITAL LETTER TE             , Tcy
U+0423, CYRILLIC CAPITAL LETTER U              , Ucy
U+0424, CYRILLIC CAPITAL LETTER EF             , Fcy
U+0425, CYRILLIC CAPITAL LETTER HA             , KHcy
U+0426, CYRILLIC CAPITAL LETTER TSE            , TScy
U+0427, CYRILLIC CAPITAL LETTER CHE            , CHcy
U+0428, CYRILLIC CAPITAL LETTER SHA            , SHcy
U+0429, CYRILLIC CAPITAL LETTER SHCHA          , SHCHcy
U+042A, CYRILLIC CAPITAL LETTER HARD SIGN      , HARDcy
U+042B, CYRILLIC CAPITAL LETTER YERU           , Ycy
U+042C, CYRILLIC CAPITAL LETTER SOFT SIGN      , SOFTcy
U+042D, CYRILLIC CAPITAL LETTER E              , Ecy
U+042E, CYRILLIC CAPITAL LETTER YU             , YUcy
U+042F, CYRILLIC CAPITAL LETTER YA             , YAcy
U+0430, CYRILLIC SMALL LETTER A                , acy
U+0431, CYRILLIC SMALL LETTER BE               , bcy
U+0432, CYRILLIC SMALL LETTER VE               , vcy
U+0433, CYRILLIC SMALL LETTER GHE              , gcy
U+0434, CYRILLIC SMALL LETTER DE               , dcy
U+0435, CYRILLIC SMALL LETTER IE               , iecy
U+0436, CYRILLIC SMALL LETTER ZHE              , zhcy
U+0437, CYRILLIC SMALL LETTER ZE               , zcy
U+0438, CYRILLIC SMALL LETTER I                , icy
U+0439, CYRILLIC SMALL LETTER SHORT I          , jcy
U+043A, CYRILLIC SMALL LETTER KA               , kcy
U+043B, CYRILLIC SMALL LETTER EL               , lcy
U+043C, CYRILLIC SMALL LETTER EM               , mcy
U+043D, CYRILLIC SMALL LETTER EN               , ncy
U+043E, CYRILLIC SMALL LETTER O                , ocy
U+043F, CYRILLIC SMALL LETTER PE               , pcy
U+0440, CYRILLIC SMALL LETTER ER               , rcy
U+0441, CYRILLIC SMALL LETTER ES               , scy
U+0442, CYRILLIC SMALL LETTER TE               , tcy
U+0443, CYRILLIC SMALL LETTER U                , ucy
U+0444, CYRILLIC SMALL LETTER EF               , fcy
U+0445, CYRILLIC SMALL LETTER HA               , khcy
U+0446, CYRILLIC SMALL LETTER TSE              , tscy
U+0447, CYRILLIC SMALL LETTER CHE              , chcy
U+0448, CYRILLIC SMALL LETTER SHA              , shcy
U+0449, CYRILLIC SMALL LETTER SHCHA            , shchcy
U+044A, CYRILLIC SMALL LETTER HARD SIGN        , hardcy
U+044B, CYRILLIC SMALL LETTER YERU             , ycy
U+044C, CYRILLIC SMALL LETTER SOFT SIGN        , softcy
U+044D, CYRILLIC SMALL LETTER E                , ecy
U+044E, CYRILLIC SMALL LETTER YU               , yucy
U+044F, CYRILLIC SMALL LETTER YA               , yacy
U+0451, CYRILLIC SMALL LETTER IO               , iocy
U+0452, CYRILLIC SMALL LETTER DJE              , djcy
U+0453, CYRILLIC SMALL LETTER GJE              , gjcy
U+0454, CYRILLIC SMALL LETTER UKRAINIAN IE     , jukcy
U+0455, CYRILLIC SMALL LETTER DZE              , dscy
U+0456, CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I, iukcy
U+0457, CYRILLIC SMALL LETTER YI               , yicy
U+0458, CYRILLIC SMALL LETTER JE               , jsercy
U+0459, CYRILLIC SMALL LETTER LJE              , ljcy
U+045A, CYRILLIC SMALL LETTER NJE              , njcy
U+045B, CYRILLIC SMALL LETTER TSHE             , tshcy
U+045C, CYRILLIC SMALL LETTER KJE              , kjcy
U+045E, CYRILLIC SMALL LETTER SHORT U          , ubrcy
U+045F, CYRILLIC SMALL LETTER DZHE             , dzcy
